grainID,varietyNumber,microplotID,year,month,day,timestamp,filename
514,7,x28y21,2020,12,02,140411,grain514_x28y21-var7_8000_us_2x_2020-12-02T140411_corr.npz
10830,3,x43y22,2020,12,02,103534,grain10830_x43y22-var3_11000_us_2x_2020-12-02T103534_corr.npz
11584,3,x44y21,2020,12,02,104851,grain11584_x44y21-var3_11000_us_2x_2020-12-02T104851_corr.npz
947,5,x28y22,2020,12,02,125210,grain947_x28y22-var5_11000_us_2x_2020-12-02T125210_corr.npz
3685,8,x32y23,2020,12,02,155853,grain3685_x32y23-var8_8000_us_2x_2020-12-02T155853_corr.npz
7046,5,x39y20,2020,12,02,130105,grain7046_x39y20-var5_11000_us_2x_2020-12-02T130105_corr.npz
17146,3,x77y15,2021,10,23,145214,grain17146_var3-x77y15_7000_us_2x_2021-10-23T145214_corr.npz
10583,3,x43y22,2020,12,02,103212,grain10583_x43y22-var3_11000_us_2x_2020-12-02T103212_corr.npz
15743,2,x73y16,2021,10,19,155300,grain15743_var2-x73y16_7000_us_2x_2021-10-19T155300_corr.npz
16026,2,x73y16,2021,10,19,155646,grain16026_var2-x73y16_7000_us_2x_2021-10-19T155646_corr.npz
23761,7,x72y15,2021,10,23,144537,grain23761_var7-x72y15_7000_us_2x_2021-10-23T144537_corr.npz
13495,7,x45y24,2020,12,02,142023,grain13495_x45y24-var7_8000_us_2x_2020-12-02T142023_corr.npz
468,7,x28y21,2020,12,02,140411,grain468_x28y21-var7_8000_us_2x_2020-12-02T140411_corr.npz
21335,5,x78y11,2021,10,19,111314,grain21335_var5-x78y11_7000_us_2x_2021-10-19T111314_corr.npz
2605,2,x31y24,2020,12,01,153702,grain2605_x31y24-var2_11000_us_2x_2020-12-01T153702_corr.npz
12355,4,x45y19,2020,12,02,111648,grain12355_x45y19-var4_11000_us_2x_2020-12-02T111648_corr.npz
17051,2,x76y12,2021,10,19,160517,grain17051_var2-x76y12_7000_us_2x_2021-10-19T160517_corr.npz
18854,4,x80y16,2021,10,19,152106,grain18854_var4-x80y16_7000_us_2x_2021-10-19T152106_corr.npz
17964,3,x77y15,2021,10,23,145648,grain17964_var3-x77y15_7000_us_2x_2021-10-23T145648_corr.npz
9563,4,x42y22,2020,12,02,112844,grain9563_x42y22-var4_11000_us_2x_2020-12-02T112844_corr.npz
11839,3,x44y21,2020,12,02,105123,grain11839_x44y21-var3_11000_us_2x_2020-12-02T105123_corr.npz
21210,5,x78y11,2021,10,19,111048,grain21210_var5-x78y11_7000_us_2x_2021-10-19T111048_corr.npz
14836,1,x75y20,2021,10,19,161043,grain14836_var1-x75y20_7000_us_2x_2021-10-19T161043_corr.npz
18928,4,x80y16,2021,10,19,152106,grain18928_var4-x80y16_7000_us_2x_2021-10-19T152106_corr.npz
12762,4,x45y19,2020,12,02,112131,grain12762_x45y19-var4_11000_us_2x_2020-12-02T112131_corr.npz
19952,4,x82y12,2021,10,19,113446,grain19952_var4-x82y12_7000_us_2x_2021-10-19T113446_corr.npz
2245,1,x30y21,2020,12,02,102357,grain2245_x30y21-var1_11000_us_2x_2020-12-02T102357_corr.npz
17818,3,x77y15,2021,10,23,145648,grain17818_var3-x77y15_7000_us_2x_2021-10-23T145648_corr.npz
26203,8,x75y12,2021,10,20,111614,grain26203_var8-x75y12_7000_us_2x_2021-10-20T111614_corr.npz
2984,2,x31y24,2020,12,01,154659,grain2984_x31y24-var2_11000_us_2x_2020-12-01T154659_corr.npz
7476,5,x39y20,2020,12,02,131556,grain7476_x39y20-var5_8000_us_2x_2020-12-02T131556_corr.npz
2349,1,x30y21,2020,12,02,102357,grain2349_x30y21-var1_11000_us_2x_2020-12-02T102357_corr.npz
9164,6,x41y23,2020,12,02,133442,grain9164_x41y23-var6_8000_us_2x_2020-12-02T133442_corr.npz
8409,6,x40y20,2020,12,02,135308,grain8409_x40y20-var6_8000_us_2x_2020-12-02T135308_corr.npz
11935,3,x44y21,2020,12,02,105123,grain11935_x44y21-var3_11000_us_2x_2020-12-02T105123_corr.npz
14773,1,x75y20,2021,10,19,161043,grain14773_var1-x75y20_7000_us_2x_2021-10-19T161043_corr.npz
23629,7,x72y15,2021,10,23,144229,grain23629_var7-x72y15_7000_us_2x_2021-10-23T144229_corr.npz
9018,6,x41y23,2020,12,02,133442,grain9018_x41y23-var6_8000_us_2x_2020-12-02T133442_corr.npz
6320,2,x35y19,2020,12,01,152347,grain6320_x35y19-var2_11000_us_2x_2020-12-01T152347_corr.npz
8575,6,x40y20,2020,12,02,135308,grain8575_x40y20-var6_8000_us_2x_2020-12-02T135308_corr.npz
21496,5,x78y11,2021,10,19,111314,grain21496_var5-x78y11_7000_us_2x_2021-10-19T111314_corr.npz
7608,5,x39y20,2020,12,02,132032,grain7608_x39y20-var5_8000_us_2x_2020-12-02T132032_corr.npz
12259,4,x45y19,2020,12,02,111648,grain12259_x45y19-var4_11000_us_2x_2020-12-02T111648_corr.npz
25884,8,x74y17,2021,10,23,151207,grain25884_var8-x74y17_7000_us_2x_2021-10-23T151207_corr.npz
23989,7,x72y15,2021,10,23,144708,grain23989_var7-x72y15_7000_us_2x_2021-10-23T144708_corr.npz
1422,5,x28y22,2020,12,02,125824,grain1422_x28y22-var5_11000_us_2x_2020-12-02T125824_corr.npz
20118,4,x82y12,2021,10,19,113637,grain20118_var4-x82y12_7000_us_2x_2021-10-19T113637_corr.npz
4781,1,x33y24,2020,12,02,100349,grain4781_x33y24-var1_11000_us_2x_2020-12-02T100349_corr.npz
8630,6,x41y23,2020,12,02,132655,grain8630_x41y23-var6_8000_us_2x_2020-12-02T132655_corr.npz
18673,3,x81y18,2021,10,23,150502,grain18673_var3-x81y18_7000_us_2x_2021-10-23T150502_corr.npz
13256,7,x45y24,2020,12,02,141746,grain13256_x45y24-var7_8000_us_2x_2020-12-02T141746_corr.npz
20064,4,x82y12,2021,10,19,113637,grain20064_var4-x82y12_7000_us_2x_2021-10-19T113637_corr.npz
23824,7,x72y15,2021,10,23,144537,grain23824_var7-x72y15_7000_us_2x_2021-10-23T144537_corr.npz
18173,3,x81y18,2021,10,23,150015,grain18173_var3-x81y18_7000_us_2x_2021-10-23T150015_corr.npz
15085,1,x75y20,2021,10,19,161703,grain15085_var1-x75y20_7000_us_2x_2021-10-19T161703_corr.npz
8288,6,x40y20,2020,12,02,135030,grain8288_x40y20-var6_8000_us_2x_2020-12-02T135030_corr.npz
15363,2,x73y16,2021,10,19,155132,grain15363_var2-x73y16_7000_us_2x_2021-10-19T155132_corr.npz
12572,4,x45y19,2020,12,02,111915,grain12572_x45y19-var4_11000_us_2x_2020-12-02T111915_corr.npz
23078,6,x80y20,2021,10,19,150717,grain23078_var6-x80y20_7000_us_2x_2021-10-19T150717_corr.npz
22914,6,x80y20,2021,10,19,150540,grain22914_var6-x80y20_7000_us_2x_2021-10-19T150540_corr.npz
6593,2,x35y19,2020,12,01,152752,grain6593_x35y19-var2_11000_us_2x_2020-12-01T152752_corr.npz
18383,3,x81y18,2021,10,23,150202,grain18383_var3-x81y18_7000_us_2x_2021-10-23T150202_corr.npz
257,7,x28y21,2020,12,02,140148,grain257_x28y21-var7_8000_us_2x_2020-12-02T140148_corr.npz
916,5,x28y22,2020,12,02,124923,grain916_x28y22-var5_11000_us_2x_2020-12-02T124923_corr.npz
13060,7,x45y24,2020,12,02,141444,grain13060_x45y24-var7_8000_us_2x_2020-12-02T141444_corr.npz
3537,8,x32y23,2020,12,02,155853,grain3537_x32y23-var8_8000_us_2x_2020-12-02T155853_corr.npz
22868,6,x80y20,2021,10,19,150540,grain22868_var6-x80y20_7000_us_2x_2021-10-19T150540_corr.npz
21039,5,x72y18,2021,10,20,110813,grain21039_var5-x72y18_7000_us_2x_2021-10-20T110813_corr.npz
23104,6,x80y20,2021,10,19,150717,grain23104_var6-x80y20_7000_us_2x_2021-10-19T150717_corr.npz
24552,7,x82y19,2021,10,19,154114,grain24552_var7-x82y19_7000_us_2x_2021-10-19T154114_corr.npz
21908,5,x78y11,2021,10,19,111711,grain21908_var5-x78y11_7000_us_2x_2021-10-19T111711_corr.npz
19659,4,x82y12,2021,10,19,113303,grain19659_var4-x82y12_7000_us_2x_2021-10-19T113303_corr.npz
8045,6,x40y20,2020,12,02,134539,grain8045_x40y20-var6_8000_us_2x_2020-12-02T134539_corr.npz
24727,7,x82y19,2021,10,19,154259,grain24727_var7-x82y19_7000_us_2x_2021-10-19T154259_corr.npz
2886,2,x31y24,2020,12,01,154301,grain2886_x31y24-var2_11000_us_2x_2020-12-01T154301_corr.npz
19471,4,x80y16,2021,10,19,152700,grain19471_var4-x80y16_7000_us_2x_2021-10-19T152700_corr.npz
23426,6,x80y20,2021,10,19,151013,grain23426_var6-x80y20_7000_us_2x_2021-10-19T151013_corr.npz
25507,8,x74y17,2021,10,23,151021,grain25507_var8-x74y17_7000_us_2x_2021-10-23T151021_corr.npz
9548,4,x42y22,2020,12,02,112418,grain9548_x42y22-var4_11000_us_2x_2020-12-02T112418_corr.npz
19725,4,x82y12,2021,10,19,113303,grain19725_var4-x82y12_7000_us_2x_2021-10-19T113303_corr.npz
21874,5,x78y11,2021,10,19,111711,grain21874_var5-x78y11_7000_us_2x_2021-10-19T111711_corr.npz
3135,2,x31y24,2020,12,01,154659,grain3135_x31y24-var2_11000_us_2x_2020-12-01T154659_corr.npz
21645,5,x78y11,2021,10,19,111536,grain21645_var5-x78y11_7000_us_2x_2021-10-19T111536_corr.npz
24942,7,x82y19,2021,10,19,154428,grain24942_var7-x82y19_7000_us_2x_2021-10-19T154428_corr.npz
5091,1,x33y24,2020,12,02,100925,grain5091_x33y24-var1_11000_us_2x_2020-12-02T100925_corr.npz
17495,3,x77y15,2021,10,23,145346,grain17495_var3-x77y15_7000_us_2x_2021-10-23T145346_corr.npz
20963,5,x72y18,2021,10,20,110813,grain20963_var5-x72y18_7000_us_2x_2021-10-20T110813_corr.npz
18420,3,x81y18,2021,10,23,150202,grain18420_var3-x81y18_7000_us_2x_2021-10-23T150202_corr.npz
21731,5,x78y11,2021,10,19,111711,grain21731_var5-x78y11_7000_us_2x_2021-10-19T111711_corr.npz
17987,3,x81y18,2021,10,23,150015,grain17987_var3-x81y18_7000_us_2x_2021-10-23T150015_corr.npz
3039,2,x31y24,2020,12,01,154659,grain3039_x31y24-var2_11000_us_2x_2020-12-01T154659_corr.npz
26583,8,x75y12,2021,10,20,113415,grain26583_var8-x75y12_7000_us_2x_2021-10-20T113415_corr.npz
4498,1,x33y24,2020,12,02,095946,grain4498_x33y24-var1_11000_us_2x_2020-12-02T095946_corr.npz
9606,4,x42y22,2020,12,02,112844,grain9606_x42y22-var4_11000_us_2x_2020-12-02T112844_corr.npz
1781,1,x30y21,2020,12,02,101341,grain1781_x30y21-var1_11000_us_2x_2020-12-02T101341_corr.npz
9444,4,x42y22,2020,12,02,112418,grain9444_x42y22-var4_11000_us_2x_2020-12-02T112418_corr.npz
8922,6,x41y23,2020,12,02,133038,grain8922_x41y23-var6_8000_us_2x_2020-12-02T133038_corr.npz
22057,6,x79y13,2021,10,19,153133,grain22057_var6-x79y13_7000_us_2x_2021-10-19T153133_corr.npz
6026,2,x35y19,2020,12,01,152108,grain6026_x35y19-var2_11000_us_2x_2020-12-01T152108_corr.npz
20499,5,x72y18,2021,10,20,110359,grain20499_var5-x72y18_7000_us_2x_2021-10-20T110359_corr.npz
25018,7,x82y19,2021,10,19,154428,grain25018_var7-x82y19_7000_us_2x_2021-10-19T154428_corr.npz
19041,4,x80y16,2021,10,19,152328,grain19041_var4-x80y16_7000_us_2x_2021-10-19T152328_corr.npz
23385,6,x80y20,2021,10,19,151013,grain23385_var6-x80y20_7000_us_2x_2021-10-19T151013_corr.npz
22293,6,x79y13,2021,10,19,153308,grain22293_var6-x79y13_7000_us_2x_2021-10-19T153308_corr.npz
23162,6,x80y20,2021,10,19,150845,grain23162_var6-x80y20_7000_us_2x_2021-10-19T150845_corr.npz
13921,1,x73y14,2021,10,23,151645,grain13921_var1-x73y14_7000_us_2x_2021-10-23T151645_corr.npz
15806,2,x73y16,2021,10,19,155432,grain15806_var2-x73y16_7000_us_2x_2021-10-19T155432_corr.npz
2560,2,x31y24,2020,12,01,153702,grain2560_x31y24-var2_11000_us_2x_2020-12-01T153702_corr.npz
26598,8,x75y12,2021,10,20,113415,grain26598_var8-x75y12_7000_us_2x_2021-10-20T113415_corr.npz
8939,6,x41y23,2020,12,02,133038,grain8939_x41y23-var6_8000_us_2x_2020-12-02T133038_corr.npz
16297,2,x76y12,2021,10,19,160007,grain16297_var2-x76y12_7000_us_2x_2021-10-19T160007_corr.npz
20482,5,x72y18,2021,10,20,110359,grain20482_var5-x72y18_7000_us_2x_2021-10-20T110359_corr.npz
5815,8,x34y21,2020,12,02,161007,grain5815_x34y21-var8_8000_us_2x_2020-12-02T161007_corr.npz
20978,5,x72y18,2021,10,20,110813,grain20978_var5-x72y18_7000_us_2x_2021-10-20T110813_corr.npz
23580,7,x72y15,2021,10,23,144229,grain23580_var7-x72y15_7000_us_2x_2021-10-23T144229_corr.npz
8845,6,x41y23,2020,12,02,133038,grain8845_x41y23-var6_8000_us_2x_2020-12-02T133038_corr.npz
22130,6,x79y13,2021,10,19,153133,grain22130_var6-x79y13_7000_us_2x_2021-10-19T153133_corr.npz
5617,8,x34y21,2020,12,02,142833,grain5617_x34y21-var8_8000_us_2x_2020-12-02T142833_corr.npz
19126,4,x80y16,2021,10,19,152328,grain19126_var4-x80y16_7000_us_2x_2021-10-19T152328_corr.npz
8599,6,x41y23,2020,12,02,132655,grain8599_x41y23-var6_8000_us_2x_2020-12-02T132655_corr.npz
22361,6,x79y13,2021,10,19,153448,grain22361_var6-x79y13_7000_us_2x_2021-10-19T153448_corr.npz
5994,8,x34y21,2020,12,02,161628,grain5994_x34y21-var8_8000_us_2x_2020-12-02T161628_corr.npz
6931,2,x35y19,2020,12,01,153126,grain6931_x35y19-var2_11000_us_2x_2020-12-01T153126_corr.npz
23179,6,x80y20,2021,10,19,150845,grain23179_var6-x80y20_7000_us_2x_2021-10-19T150845_corr.npz
11469,3,x44y21,2020,12,02,104601,grain11469_x44y21-var3_11000_us_2x_2020-12-02T104601_corr.npz
15250,1,x75y20,2021,10,19,161703,grain15250_var1-x75y20_7000_us_2x_2021-10-19T161703_corr.npz
25003,7,x82y19,2021,10,19,154428,grain25003_var7-x82y19_7000_us_2x_2021-10-19T154428_corr.npz
4654,1,x33y24,2020,12,02,100349,grain4654_x33y24-var1_11000_us_2x_2020-12-02T100349_corr.npz
22288,6,x79y13,2021,10,19,153308,grain22288_var6-x79y13_7000_us_2x_2021-10-19T153308_corr.npz
15961,2,x73y16,2021,10,19,155432,grain15961_var2-x73y16_7000_us_2x_2021-10-19T155432_corr.npz
6707,2,x35y19,2020,12,01,153126,grain6707_x35y19-var2_11000_us_2x_2020-12-01T153126_corr.npz
21022,5,x72y18,2021,10,20,110813,grain21022_var5-x72y18_7000_us_2x_2021-10-20T110813_corr.npz
22873,6,x80y20,2021,10,19,150540,grain22873_var6-x80y20_7000_us_2x_2021-10-19T150540_corr.npz
25377,8,x74y17,2021,10,23,150844,grain25377_var8-x74y17_7000_us_2x_2021-10-23T150844_corr.npz
25194,8,x74y17,2021,10,23,150719,grain25194_var8-x74y17_7000_us_2x_2021-10-23T150719_corr.npz
24549,7,x82y19,2021,10,19,154114,grain24549_var7-x82y19_7000_us_2x_2021-10-19T154114_corr.npz
330,7,x28y21,2020,12,02,140148,grain330_x28y21-var7_8000_us_2x_2020-12-02T140148_corr.npz
4758,1,x33y24,2020,12,02,100349,grain4758_x33y24-var1_11000_us_2x_2020-12-02T100349_corr.npz
186,7,x28y21,2020,12,02,135904,grain186_x28y21-var7_8000_us_2x_2020-12-02T135904_corr.npz
16604,2,x76y12,2021,10,19,160139,grain16604_var2-x76y12_7000_us_2x_2021-10-19T160139_corr.npz
13107,7,x45y24,2020,12,02,141444,grain13107_x45y24-var7_8000_us_2x_2020-12-02T141444_corr.npz
15378,2,x73y16,2021,10,19,155132,grain15378_var2-x73y16_7000_us_2x_2021-10-19T155132_corr.npz
11565,3,x44y21,2020,12,02,104601,grain11565_x44y21-var3_11000_us_2x_2020-12-02T104601_corr.npz
15596,2,x73y16,2021,10,19,155300,grain15596_var2-x73y16_7000_us_2x_2021-10-19T155300_corr.npz
3894,8,x32y23,2020,12,02,160129,grain3894_x32y23-var8_8000_us_2x_2020-12-02T160129_corr.npz
18398,3,x81y18,2021,10,23,150202,grain18398_var3-x81y18_7000_us_2x_2021-10-23T150202_corr.npz
10456,3,x43y22,2020,12,02,103212,grain10456_x43y22-var3_11000_us_2x_2020-12-02T103212_corr.npz
23063,6,x80y20,2021,10,19,150717,grain23063_var6-x80y20_7000_us_2x_2021-10-19T150717_corr.npz
24435,7,x82y19,2021,10,19,154114,grain24435_var7-x82y19_7000_us_2x_2021-10-19T154114_corr.npz
10323,3,x43y22,2020,12,02,102758,grain10323_x43y22-var3_11000_us_2x_2020-12-02T102758_corr.npz
8122,6,x40y20,2020,12,02,134539,grain8122_x40y20-var6_8000_us_2x_2020-12-02T134539_corr.npz
7169,5,x39y20,2020,12,02,130424,grain7169_x39y20-var5_11000_us_2x_2020-12-02T130424_corr.npz
24640,7,x82y19,2021,10,19,154259,grain24640_var7-x82y19_7000_us_2x_2021-10-19T154259_corr.npz
24959,7,x82y19,2021,10,19,154428,grain24959_var7-x82y19_7000_us_2x_2021-10-19T154428_corr.npz
19516,4,x80y16,2021,10,19,152700,grain19516_var4-x80y16_7000_us_2x_2021-10-19T152700_corr.npz
25460,8,x74y17,2021,10,23,151021,grain25460_var8-x74y17_7000_us_2x_2021-10-23T151021_corr.npz
19642,4,x82y12,2021,10,19,113303,grain19642_var4-x82y12_7000_us_2x_2021-10-19T113303_corr.npz
21913,5,x78y11,2021,10,19,111711,grain21913_var5-x78y11_7000_us_2x_2021-10-19T111711_corr.npz
5750,8,x34y21,2020,12,02,161007,grain5750_x34y21-var8_8000_us_2x_2020-12-02T161007_corr.npz
12280,4,x45y19,2020,12,02,111648,grain12280_x45y19-var4_11000_us_2x_2020-12-02T111648_corr.npz
25410,8,x74y17,2021,10,23,150844,grain25410_var8-x74y17_7000_us_2x_2021-10-23T150844_corr.npz
22088,6,x79y13,2021,10,19,153133,grain22088_var6-x79y13_7000_us_2x_2021-10-19T153133_corr.npz
12512,4,x45y19,2020,12,02,111915,grain12512_x45y19-var4_11000_us_2x_2020-12-02T111915_corr.npz
16253,2,x76y12,2021,10,19,160007,grain16253_var2-x76y12_7000_us_2x_2021-10-19T160007_corr.npz
20446,5,x72y18,2021,10,20,110359,grain20446_var5-x72y18_7000_us_2x_2021-10-20T110359_corr.npz
26420,8,x75y12,2021,10,20,113415,grain26420_var8-x75y12_7000_us_2x_2021-10-20T113415_corr.npz
23544,7,x72y15,2021,10,23,144229,grain23544_var7-x72y15_7000_us_2x_2021-10-23T144229_corr.npz
26777,8,x75y12,2021,10,20,113607,grain26777_var8-x75y12_7000_us_2x_2021-10-20T113607_corr.npz
8881,6,x41y23,2020,12,02,133038,grain8881_x41y23-var6_8000_us_2x_2020-12-02T133038_corr.npz
7565,5,x39y20,2020,12,02,132032,grain7565_x39y20-var5_8000_us_2x_2020-12-02T132032_corr.npz
9528,4,x42y22,2020,12,02,112418,grain9528_x42y22-var4_11000_us_2x_2020-12-02T112418_corr.npz
5950,8,x34y21,2020,12,02,161628,grain5950_x34y21-var8_8000_us_2x_2020-12-02T161628_corr.npz
22330,6,x79y13,2021,10,19,153308,grain22330_var6-x79y13_7000_us_2x_2021-10-19T153308_corr.npz
15294,1,x75y20,2021,10,19,161703,grain15294_var1-x75y20_7000_us_2x_2021-10-19T161703_corr.npz
3155,2,x31y24,2020,12,01,154659,grain3155_x31y24-var2_11000_us_2x_2020-12-01T154659_corr.npz
3059,2,x31y24,2020,12,01,154659,grain3059_x31y24-var2_11000_us_2x_2020-12-01T154659_corr.npz
17700,3,x77y15,2021,10,23,145511,grain17700_var3-x77y15_7000_us_2x_2021-10-23T145511_corr.npz
19279,4,x80y16,2021,10,19,152527,grain19279_var4-x80y16_7000_us_2x_2021-10-19T152527_corr.npz
25150,8,x74y17,2021,10,23,150719,grain25150_var8-x74y17_7000_us_2x_2021-10-23T150719_corr.npz
18220,3,x81y18,2021,10,23,150202,grain18220_var3-x81y18_7000_us_2x_2021-10-23T150202_corr.npz
14463,1,x75y20,2021,10,19,160916,grain14463_var1-x75y20_7000_us_2x_2021-10-19T160916_corr.npz
142,7,x28y21,2020,12,02,135904,grain142_x28y21-var7_8000_us_2x_2020-12-02T135904_corr.npz
2140,1,x30y21,2020,12,02,102357,grain2140_x30y21-var1_11000_us_2x_2020-12-02T102357_corr.npz
6046,2,x35y19,2020,12,01,152108,grain6046_x35y19-var2_11000_us_2x_2020-12-01T152108_corr.npz
19305,4,x80y16,2021,10,19,152527,grain19305_var4-x80y16_7000_us_2x_2021-10-19T152527_corr.npz
26383,8,x75y12,2021,10,20,113415,grain26383_var8-x75y12_7000_us_2x_2021-10-20T113415_corr.npz
15552,2,x73y16,2021,10,19,155300,grain15552_var2-x73y16_7000_us_2x_2021-10-19T155300_corr.npz
14260,1,x73y14,2021,10,23,151816,grain14260_var1-x73y14_7000_us_2x_2021-10-23T151816_corr.npz
3850,8,x32y23,2020,12,02,160129,grain3850_x32y23-var8_8000_us_2x_2020-12-02T160129_corr.npz
